time,x_pos,y_pos,velocity,rotation,action
0.00000,2.07000,4.04000,0.00000,0.00000,0
0.12504,2.06461,4.05468,0.25009,0.02339,0
0.17684,2.05912,4.06932,0.35368,0.04677,0
0.21658,2.05353,4.08392,0.43316,0.07016,0
0.25009,2.04784,4.09848,0.50018,0.09355,0
0.27961,2.04204,4.11301,0.55921,0.11694,0
0.30629,2.03614,4.12748,0.61259,0.14032,0
0.33083,2.03012,4.14192,0.66167,0.16371,0
0.35368,2.02399,4.15630,0.70735,0.18710,0
0.37513,2.01774,4.17063,0.75026,0.21048,0
0.39542,2.01138,4.18492,0.79085,0.23387,0
0.41472,2.00489,4.19914,0.82945,0.25726,0
0.43353,1.99827,4.21331,0.83302,0.28112,0
0.45230,1.99152,4.22741,0.83302,0.30599,0
0.47107,1.98465,4.24145,0.83302,0.33192,0
0.48984,1.97763,4.25543,0.83302,0.35890,0
0.50861,1.97047,4.26933,0.83302,0.38693,0
0.52738,1.96317,4.28316,0.83302,0.41601,0
0.54616,1.95572,4.29690,0.83302,0.44615,0
0.56493,1.94812,4.31057,0.83302,0.47735,0
0.58370,1.94036,4.32414,0.83302,0.50959,0
0.60247,1.93245,4.33763,0.83302,0.54290,0
0.62124,1.92437,4.35101,0.83302,0.57725,0
0.64001,1.91612,4.36430,0.83302,0.61266,0
0.65878,1.90770,4.37747,0.83302,0.64912,0
0.67755,1.89910,4.39053,0.83302,0.68664,0
0.69632,1.89033,4.40347,0.83302,0.72521,0
0.71509,1.88137,4.41629,0.83302,0.76484,0
0.73386,1.87222,4.42897,0.83302,0.80552,0
0.75263,1.86288,4.44151,0.83302,0.84725,0
0.77140,1.85334,4.45390,0.83302,0.89003,0
0.79017,1.84361,4.46614,0.83302,0.93388,0
0.80894,1.83367,4.47821,0.83302,0.97877,0
0.82771,1.82353,4.49011,0.83302,1.02472,0
0.84648,1.81318,4.50183,0.83302,1.07172,0
0.86525,1.80262,4.51336,0.83302,1.11978,0
0.88402,1.79185,4.52469,0.83302,1.16889,0
0.90279,1.78086,4.53581,0.83302,1.21905,0
0.92156,1.76965,4.54672,0.83302,1.27027,0
0.94033,1.75823,4.55739,0.83302,1.32254,0
0.95910,1.74658,4.56783,0.83302,1.37587,0
0.97787,1.73472,4.57802,0.83302,1.43025,0
0.99664,1.72265,4.58795,0.83302,1.48568,0
1.01541,1.71036,4.59762,0.83302,1.54217,0
1.03418,1.69786,4.60701,0.83302,1.59944,0
1.05295,1.68514,4.61611,0.83302,1.65593,0
1.07172,1.67223,4.62492,0.83302,1.71136,0
1.09049,1.65911,4.63342,0.83302,1.76574,0
1.10926,1.64579,4.64162,0.83302,1.81907,0
1.12802,1.63228,4.64950,0.83302,1.87134,0
1.14679,1.61859,4.65705,0.83302,1.92256,0
1.16556,1.60473,4.66428,0.83302,1.97272,0
1.18433,1.59069,4.67117,0.83302,2.02183,0
1.20310,1.57650,4.67772,0.83302,2.06988,0
1.22187,1.56215,4.68394,0.83302,2.11688,0
1.24064,1.54766,4.68981,0.83302,2.16283,0
1.25941,1.53303,4.69534,0.83302,2.20773,0
1.27818,1.51828,4.70052,0.83302,2.25157,0
1.29695,1.50342,4.70537,0.83302,2.29435,0
1.31572,1.48845,4.70988,0.83302,2.33608,0
1.33449,1.47338,4.71405,0.83302,2.37676,0
1.35326,1.45822,4.71788,0.83302,2.41639,0
1.37203,1.44298,4.72139,0.83302,2.45496,0
1.39080,1.42767,4.72458,0.83302,2.49247,0
1.40957,1.41230,4.72745,0.83302,2.52894,0
1.42834,1.39688,4.73001,0.83302,2.56435,0
1.44711,1.38141,4.73227,0.83302,2.59870,0
1.46588,1.36590,4.73423,0.83302,2.63200,0
1.48465,1.35035,4.73591,0.83302,2.66425,0
1.50342,1.33478,4.73730,0.83302,2.69544,0
1.52219,1.31918,4.73842,0.83302,2.72558,0
1.54096,1.30357,4.73927,0.83302,2.75467,0
1.55973,1.28794,4.73987,0.83302,2.78270,0
1.57850,1.27231,4.74022,0.83302,2.80968,0
1.59727,1.25668,4.74032,0.83302,2.83560,0
1.61604,1.24104,4.74020,0.83302,2.86047,0
1.63485,1.22541,4.73985,0.82945,2.88434,0
1.65415,1.20978,4.73928,0.79085,2.90772,0
1.67445,1.19417,4.73851,0.75026,2.93111,0
1.69590,1.17856,4.73753,0.70735,2.95450,0
1.71874,1.16297,4.73636,0.66167,2.97788,0
1.74328,1.14739,4.73500,0.61259,3.00127,0
1.76997,1.13183,4.73346,0.55921,3.02466,0
1.79949,1.11629,4.73175,0.50017,3.04804,0
1.83299,1.10077,4.72987,0.43316,3.07143,0
1.87274,1.08527,4.72783,0.35368,3.09482,0
1.92453,1.06978,4.72564,0.25009,3.11821,0
2.04958,1.05432,4.72329,0.00000,3.14159,0
